,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.52,0.0,0.25,0.04,,,,,
1,1,0.78,0.5,0.71,0.17,0.495,0.0,19.483,0.1613513849051641,0.15686205046779572
2,2,0.8,0.0,0.61,0.06,0.491,0.004,19.406,0.1342583824917674,0.12730805883556606
3,3,0.71,0.5,0.64,0.08,0.49,0.002,19.246,0.12384910380095245,0.11766124895960092
4,4,0.87,0.5,0.76,0.34,0.48600000000000004,0.0,19.342,0.1215856961980462,0.1202332036718726
5,5,0.82,0.5,0.76,0.14,0.505,0.001,19.355,0.1196555139273405,0.1201300897486508
6,6,0.83,0.0,0.64,0.24,0.499,0.0,19.357,0.12145957841724155,0.11740965340286495
7,7,0.93,0.0,0.79,0.33,0.48000000000000004,0.003,18.874000000000002,0.12698315992578865,0.12133492201939225
8,8,0.79,0.5,0.68,0.14,0.525,0.003,18.805,0.1254421381354332,0.11865579315647486
9,9,0.85,0.5,0.69,0.23,0.526,0.002,19.233,0.12405851091444492,0.12400753194093705
10,10,0.85,0.5,0.77,0.2,0.499,0.003,19.469,0.1268859145641327,0.13109751903265715
11,11,0.88,0.5,0.65,0.18,0.49699999999999994,0.001,19.180999999999997,0.1292645462602377,0.12698119638115168
12,12,0.89,0.5,0.67,0.2,0.48500000000000004,0.002,19.099,0.12175420486927033,0.12595551409572364
13,13,0.92,0.5,0.62,0.29,0.52,0.001,19.023,0.12591786658763884,0.13120800744742156
14,14,0.9,0.5,0.65,0.23,0.5059999999999999,0.003,19.12,0.13365116976201535,0.13582968984544275
15,15,0.89,0.0,0.66,0.24,0.5099999999999999,0.0,19.212,0.12873769243061542,0.13117374461516734
16,16,0.78,0.5,0.72,0.32,0.496,0.002,19.078,0.13338573417812585,0.13517031159251927
17,17,0.87,0.5,0.72,0.28,0.46900000000000003,0.001,18.737000000000002,0.13103569807112214,0.13267729482799767
18,18,0.8,0.5,0.67,0.25,0.524,0.0,19.2,0.13544520090520382,0.13471909990161654
19,19,0.93,0.5,0.84,0.36,0.508,0.001,18.869,0.1381612509191036,0.13795075626671313
20,20,0.92,0.5,0.65,0.23,0.5,0.002,19.377,0.13736932706832886,0.1365359718799591
21,21,0.91,0.5,0.72,0.26,0.49699999999999994,0.001,19.1,0.14370564591884613,0.1389842591881752
22,22,0.86,0.0,0.59,0.24,0.48600000000000004,0.001,18.922,0.13957191202789546,0.1410679895542562
