,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.5,0.0,0.31,0.03,,,,,
1,1,0.77,0.0,0.55,0.17,0.5070000000000001,0.006,19.555,0.1681530856039642,0.16147374362129374
2,2,0.9,0.0,0.73,0.19,0.47400000000000003,0.003,19.410999999999998,0.13110548332333566,0.12875604813173416
3,3,0.85,0.5,0.72,0.26,0.5,0.002,19.027,0.13014309595152734,0.12132707875967025
4,4,0.79,0.5,0.75,0.18,0.508,0.002,19.253,0.1239379257299006,0.119378996796906
5,5,0.82,0.0,0.56,0.17,0.48700000000000004,0.009,19.315,0.13144482054561374,0.1204705561697483
6,6,0.8,1.0,0.47,0.16,0.503,0.001,19.503,0.12314330825954675,0.12141586308181285
7,7,0.82,0.0,0.7,0.25,0.5009999999999999,0.002,19.118,0.12747475308179854,0.1252058270201087
8,8,0.8,0.5,0.73,0.26,0.482,0.003,19.427,0.12444815844297408,0.1275010677203536
9,9,0.84,0.5,0.72,0.17,0.496,0.001,19.146,0.12540348937362433,0.1255017102472484
10,10,0.8,0.5,0.66,0.17,0.502,0.002,19.157,0.12643398695439098,0.12875159473717213
11,11,0.86,1.0,0.79,0.18,0.47100000000000003,0.002,19.123,0.1282865721285343,0.13002911226451394
12,12,0.81,0.5,0.63,0.1,0.5070000000000001,0.002,18.986,0.13280675338208675,0.1384100130200386
13,13,0.84,0.5,0.76,0.2,0.505,0.002,19.358,0.13754201708734035,0.13333779142051935
14,14,0.88,0.0,0.66,0.17,0.49699999999999994,0.0,18.865,0.1339055481813848,0.134615339666605
15,15,0.88,1.0,0.72,0.23,0.48000000000000004,0.003,19.026,0.14044347185641526,0.13841776701807976
16,16,0.82,0.0,0.61,0.17,0.512,0.002,19.308,0.14115454453974965,0.14099745297431945
17,17,0.73,0.0,0.64,0.16,0.49200000000000005,0.0,18.738,0.14346948397904635,0.14032114672660828
18,18,0.9,0.0,0.68,0.33,0.495,0.001,19.085,0.14438698840886355,0.13676505299657582
19,19,0.78,0.5,0.69,0.12,0.521,0.0,19.275,0.1446990223005414,0.13741310773044824
20,20,0.93,0.0,0.75,0.43,0.516,0.0,18.798,0.15035951890796426,0.1421421944499016
21,21,0.82,0.5,0.78,0.37,0.4940000000000001,0.003,18.691,0.15792387668043376,0.14732451214641332
22,22,0.94,0.0,0.91,0.31,0.5059999999999999,0.004,18.955,0.14671717538684606,0.1424349693879485
