,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.69,0.5,0.46,0.06,,,,,
1,1,0.71,0.0,0.63,0.1,0.515,0.001,19.822,0.14111939456814826,0.14193326909814494
2,2,0.84,0.0,0.61,0.11,0.512,0.0,19.382,0.10711207645758987,0.10810405968874692
3,3,0.86,0.0,0.66,0.14,0.502,0.0,19.14,0.11728023377805948,0.11644845294207334
4,4,0.87,0.5,0.72,0.18,0.484,0.002,18.717,0.11701614996045827,0.11296414421871305
5,5,0.77,1.0,0.61,0.19,0.479,0.003,19.528,0.11402444365620612,0.11466180147230624
6,6,0.87,1.0,0.78,0.22,0.5139999999999999,0.001,19.363,0.12012863602489235,0.12263528841733932
7,7,0.75,0.5,0.54,0.13,0.48899999999999993,0.004,19.24,0.12276903346553444,0.12612941624969246
8,8,0.83,0.5,0.73,0.21,0.49,0.0,19.224,0.12708392433822155,0.12593257305026054
9,9,0.82,0.5,0.61,0.13,0.505,0.002,19.233,0.13927268505096435,0.12697642342746254
10,10,0.63,0.0,0.44,0.1,0.48700000000000004,0.004,19.465999999999998,0.1384087348729372,0.13122876207530498
11,11,0.82,0.5,0.69,0.18,0.49800000000000005,0.002,19.086,0.14214917428046464,0.12560043570399285
12,12,0.8,1.0,0.65,0.23,0.5139999999999999,0.0,19.474,0.13795057725906373,0.13253013279289008
13,13,0.79,0.0,0.56,0.13,0.508,0.003,19.259,0.14553967712074514,0.13539206804335116
14,14,0.89,0.5,0.81,0.34,0.482,0.002,19.473,0.14333541141450404,0.13894191443175075
15,15,0.84,0.0,0.68,0.2,0.503,0.0,19.023,0.14351270142197609,0.13853522913903
16,16,0.78,0.0,0.66,0.23,0.518,0.001,19.715,0.14132251549884678,0.14323871720582246
17,17,0.82,0.5,0.57,0.18,0.482,0.0,19.588,0.14506949447095396,0.13900055337697267
18,18,0.85,0.5,0.76,0.31,0.508,0.001,19.764,0.1516620696783066,0.1438196020796895
19,19,0.87,0.5,0.67,0.25,0.516,0.0,19.204,0.15097328044474126,0.14791878703981634
20,20,0.82,0.5,0.79,0.15,0.518,0.001,19.133,0.14574631395190954,0.15086874152719976
21,21,0.81,0.5,0.67,0.32,0.5099999999999999,0.007000000000000001,19.006,0.14756673695892095,0.14647618226706982
22,22,0.8,0.0,0.65,0.16,0.518,0.003,19.6,0.14740856445580722,0.1492053425759077
23,23,0.8,0.5,0.6,0.19,0.5,0.004,18.851,0.14886415579915047,0.15761819882690906
24,24,0.82,0.5,0.7,0.3,0.496,0.004,19.54,0.14750336688011886,0.16235215613245965
25,25,0.82,0.5,0.69,0.26,0.488,0.0,19.122,0.1511862630993128,0.14834057127684355
26,26,0.69,0.0,0.49,0.13,0.509,0.0,19.301,0.14840148966014385,0.15540697897970676
27,27,0.87,0.5,0.67,0.12,0.47400000000000003,0.0,18.974,0.15097873128950595,0.15884921016544104
28,28,0.8,1.0,0.58,0.19,0.49800000000000005,0.003,18.989,0.15527666256576778,0.16141654768586158
29,29,0.81,0.5,0.62,0.3,0.496,0.001,18.59,0.15715879250317813,0.16611985659599304
30,30,0.79,0.0,0.77,0.1,0.533,0.003,19.169,0.15378559386730195,0.15640013379603626
31,31,0.86,0.0,0.76,0.31,0.505,0.002,19.093,0.15918411849439146,0.1591997225806117
32,32,0.81,0.5,0.65,0.33,0.5099999999999999,0.003,18.804000000000002,0.15767806104570628,0.15638992280513048
33,33,0.79,0.5,0.62,0.13,0.49800000000000005,0.003,19.037,0.15834194630384446,0.16367147502303125
34,34,0.77,0.0,0.6,0.14,0.513,0.003,19.141,0.1571428110525012,0.17278505682200193
35,35,0.78,0.5,0.53,0.27,0.5009999999999999,0.002,19.176,0.16190234614908694,0.16554271532595158
36,36,0.86,0.0,0.62,0.14,0.536,0.005,19.171,0.17299496074765922,0.16144076911360025
37,37,0.77,0.0,0.75,0.12,0.524,0.002,19.426,0.16820310362428426,0.17215912127494812
38,38,0.8,0.5,0.64,0.17,0.532,0.002,19.162,0.16074956393241882,0.17044292134046554
39,39,0.81,0.5,0.68,0.25,0.5070000000000001,0.005,19.261,0.16866436655074354,0.16759547882527112
40,40,0.83,0.5,0.8,0.3,0.509,0.002,19.685,0.15938915402442216,0.17200018419325352
41,41,0.72,0.5,0.53,0.13,0.47800000000000004,0.0,19.362000000000002,0.1675029188618064,0.17575869666785002
42,42,0.86,0.0,0.79,0.19,0.49200000000000005,0.003,19.313,0.1690914725586772,0.17064071927964689
43,43,0.85,0.5,0.67,0.31,0.502,0.0,18.968,0.16819152277708055,0.18043150284141304
44,44,0.79,0.5,0.61,0.3,0.523,0.007000000000000001,19.575,0.17032955575734374,0.17245651894062758
45,45,0.81,0.5,0.67,0.18,0.484,0.002,19.227,0.16787469320744275,0.16599291095137594
46,46,0.81,0.5,0.63,0.22,0.4940000000000001,0.002,18.61,0.1714005375429988,0.1794865845888853
47,47,0.84,0.0,0.69,0.08,0.502,0.002,19.758,0.16676124660670755,0.17499290484189986
48,48,0.87,0.0,0.76,0.18,0.482,0.0,19.396,0.1792356880605221,0.17116672286391255
49,49,0.83,0.0,0.68,0.29,0.47800000000000004,0.0,19.49,0.17755068515986205,0.17321423628181218
50,50,0.86,0.5,0.62,0.15,0.46900000000000003,0.004,18.889,0.18037942144274716,0.1827694735378027
51,51,0.82,0.5,0.62,0.21,0.48899999999999993,0.005,19.019000000000002,0.174897103741765,0.19107021293789148
52,52,0.86,0.0,0.61,0.2,0.4940000000000001,0.001,19.676,0.17375558379292488,0.17736470968276266
53,53,0.8,0.5,0.7,0.23,0.491,0.001,19.234,0.18320349833369254,0.1867577330097556
54,54,0.82,0.5,0.72,0.23,0.484,0.001,19.526,0.16994899190217255,0.17197709419578314
55,55,0.86,0.5,0.71,0.33,0.46900000000000003,0.003,19.528,0.18358593415468927,0.16970879408717154
56,56,0.86,0.5,0.64,0.19,0.475,0.001,18.998,0.19030615568906067,0.1808000806197524
57,57,0.8,0.5,0.57,0.17,0.517,0.002,19.177,0.18059143082797527,0.18858789537101986
58,58,0.82,0.0,0.63,0.23,0.525,0.001,19.468,0.17701957853138447,0.1776536334604025
59,59,0.83,0.5,0.69,0.2,0.5070000000000001,0.001,19.125,0.18434777331352234,0.1767481867969036
60,60,0.78,0.0,0.6,0.22,0.484,0.002,19.317,0.18472222764045,0.17676526611298324
61,61,0.81,0.5,0.58,0.22,0.4769999999999999,0.0,18.849,0.1877858925238252,0.1760620305016637
62,62,0.8,0.0,0.57,0.25,0.5,0.002,19.087,0.18524142644554376,0.17210259640216827
63,63,0.87,0.5,0.69,0.33,0.5009999999999999,0.005,19.769000000000002,0.1867877895385027,0.18346471729129551
64,64,0.83,0.5,0.66,0.23,0.5,0.003,18.985,0.1876149980202317,0.17743347501009699
65,65,0.9,0.5,0.69,0.22,0.491,0.004,19.102999999999998,0.2002399303391576,0.17932000981271268
66,66,0.95,0.5,0.8,0.33,0.496,0.0,19.24,0.20341893965750926,0.18160417829453945
67,67,0.83,0.0,0.65,0.3,0.537,0.0,19.003,0.1971144004240632,0.18049498620629312
68,68,0.76,1.0,0.66,0.12,0.541,0.002,18.89,0.1957667934820056,0.1821264871582389
69,69,0.85,0.5,0.73,0.29,0.531,0.003,19.477,0.1883901657089591,0.1782151668816805
70,70,0.88,0.5,0.7,0.17,0.48700000000000004,0.002,19.229,0.19582526042312384,0.17833366707712411
71,71,0.83,0.5,0.78,0.27,0.512,0.001,19.344,0.1988735855221748,0.18858760740607974
72,72,0.82,0.5,0.6,0.31,0.508,0.003,18.605999999999998,0.2029857017695904,0.181598401799798
73,73,0.89,0.5,0.78,0.27,0.509,0.003,19.099,0.19998713455349207,0.1908613786995411
74,74,0.85,0.5,0.72,0.21,0.523,0.002,19.337,0.19475227233022446,0.18638994300365447
75,75,0.77,0.5,0.58,0.2,0.49,0.002,19.366,0.2028486253023148,0.1824536119326949
76,76,0.82,0.5,0.65,0.21,0.4940000000000001,0.0,18.976,0.19452824074029926,0.1893930353149772
77,77,0.79,0.0,0.52,0.17,0.502,0.003,19.407,0.20460247799009085,0.1955707862228155
78,78,0.85,0.5,0.71,0.27,0.49699999999999994,0.001,19.236,0.2034492403641343,0.18046245636045927
79,79,0.88,0.5,0.51,0.21,0.509,0.003,18.939,0.20773639972507954,0.1852212294265628
80,80,0.83,0.5,0.64,0.22,0.48000000000000004,0.001,18.715,0.20643195244669915,0.18942368096113205
81,81,0.81,0.0,0.54,0.16,0.5070000000000001,0.003,19.264,0.20068234383314848,0.18990197272598744
82,82,0.82,0.5,0.74,0.33,0.503,0.001,19.437,0.20081445255875588,0.1843854374140501
83,83,0.79,0.0,0.69,0.31,0.49699999999999994,0.0,19.447,0.20288464799523356,0.19277611332386727
84,84,0.81,0.0,0.73,0.23,0.495,0.004,18.843,0.2090921646952629,0.20305010970681905
85,85,0.81,0.5,0.57,0.13,0.5009999999999999,0.001,18.725,0.21469017953425645,0.20508632514625788
86,86,0.85,0.5,0.82,0.25,0.49,0.004,19.149,0.20380551429092886,0.20873837715387344
87,87,0.89,0.5,0.75,0.39,0.45999999999999996,0.0,18.858,0.19414499352127312,0.19965821945667267
88,88,0.91,0.5,0.8,0.4,0.482,0.005,18.822,0.19785302474349736,0.1954689537882805
89,89,0.78,0.5,0.74,0.35,0.503,0.002,18.866,0.19565738513320685,0.19134082337468866
90,90,0.85,0.5,0.67,0.23,0.526,0.002,18.983,0.20501481729745866,0.18953185552358628
91,91,0.89,0.0,0.7,0.2,0.499,0.003,19.279,0.21305889954417945,0.194268647223711
