,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.65,0.5,0.48,0.2,,,,,
1,1,0.71,1.0,0.48,0.14,0.5099999999999999,0.001,19.454,0.15458384552486504,0.1479378880516704
2,2,0.73,0.5,0.64,0.18,0.5,0.001,19.426,0.11652514469996095,0.11717544438689947
3,3,0.85,0.5,0.64,0.1,0.515,0.002,19.474,0.11887118442356588,0.1179143696166575
4,4,0.92,1.0,0.73,0.26,0.484,0.003,19.148,0.11709624306485054,0.11645148254558445
5,5,0.78,0.0,0.7,0.13,0.509,0.001,19.049,0.11994593776017427,0.11813003258034585
6,6,0.77,0.5,0.59,0.23,0.495,0.004,19.486,0.12730759235098954,0.12538200181722642
7,7,0.76,0.5,0.65,0.12,0.53,0.003,19.151,0.1264517711251974,0.12661702354252338
8,8,0.81,0.5,0.67,0.21,0.526,0.002,19.021,0.12025051169469952,0.1270911729708314
9,9,0.87,0.5,0.63,0.15,0.49,0.002,18.938,0.13685423593223095,0.13769738101959228
10,10,0.87,0.5,0.61,0.26,0.481,0.001,18.797,0.13988069999217986,0.13527243192866445
11,11,0.78,0.0,0.62,0.3,0.5059999999999999,0.003,19.436,0.1370365579724312,0.13588683604449034
12,12,0.7,0.0,0.44,0.12,0.499,0.002,19.13,0.13896924174949524,0.1337681444734335
13,13,0.71,0.0,0.4,0.16,0.46299999999999997,0.002,19.668,0.1389651204124093,0.13552545941248534
14,14,0.82,0.0,0.56,0.17,0.48700000000000004,0.002,18.828,0.1436049471721053,0.14085334516316653
15,15,0.82,0.0,0.65,0.12,0.5099999999999999,0.001,18.903,0.14666061176359654,0.14082842379063368
16,16,0.76,0.0,0.44,0.09,0.47000000000000003,0.001,19.177,0.14447257109731435,0.147860819876194
17,17,0.84,0.5,0.81,0.25,0.48899999999999993,0.002,19.224,0.14397374692559242,0.14377922731637954
18,18,0.84,0.5,0.71,0.31,0.482,0.001,19.266,0.14537660668045282,0.14692293501645326
19,19,0.87,1.0,0.71,0.34,0.47100000000000003,0.0,18.991,0.14087836826592684,0.14129508202522992
20,20,0.8,1.0,0.64,0.12,0.517,0.0,19.365,0.14254240883886815,0.1422326956614852
21,21,0.77,0.0,0.59,0.17,0.484,0.003,19.211,0.13845615722984075,0.1526002988219261
22,22,0.76,0.5,0.51,0.17,0.488,0.001,19.24,0.15781534269452094,0.14662111458182334
23,23,0.84,1.0,0.55,0.16,0.496,0.003,19.093,0.1611068795621395,0.15516196731477974
24,24,0.76,0.0,0.61,0.09,0.49200000000000005,0.007000000000000001,19.367,0.1578811339661479,0.15584323325008154
25,25,0.86,0.5,0.71,0.23,0.4680000000000001,0.001,19.645,0.15836150404810906,0.16592181935161351
26,26,0.85,0.0,0.65,0.19,0.48300000000000004,0.003,19.336,0.15680433662980794,0.16250424817204476
27,27,0.81,0.0,0.74,0.28,0.5059999999999999,0.001,19.602,0.1516684381365776,0.15564552222937345
28,28,0.76,0.0,0.63,0.1,0.4940000000000001,0.001,18.538,0.1615968511328101,0.15840263786166905
29,29,0.74,0.0,0.57,0.11,0.49200000000000005,0.001,18.902,0.16203982020169494,0.16006758958846332
30,30,0.75,0.5,0.61,0.2,0.475,0.001,19.535,0.15998193540424108,0.15868489318341014
31,31,0.77,0.5,0.59,0.23,0.5009999999999999,0.002,18.83,0.16007520078867676,0.15518506871908902
32,32,0.86,0.0,0.6,0.25,0.495,0.002,19.493,0.15896740095317366,0.16203685099631548
