,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.46,0.0,0.21,0.06,,,,,
1,1,0.86,0.5,0.73,0.27,0.499,0.002,20.03,0.13781058362390994,0.13589488755156004
2,2,0.86,0.0,0.77,0.14,0.511,0.002,19.072,0.11370121596381068,0.10903577850013972
3,3,0.79,0.5,0.65,0.23,0.49200000000000005,0.001,19.259,0.11459974839538335,0.11990009989216925
4,4,0.83,0.5,0.74,0.3,0.49800000000000005,0.0,18.816,0.11656211304292086,0.11900330767035484
5,5,0.58,0.0,0.46,0.06,0.491,0.004,19.362000000000002,0.12063141055032613,0.1203973430544138
6,6,0.77,0.5,0.61,0.17,0.53,0.001,19.392,0.12276797913014888,0.1223256755322218
7,7,0.82,0.0,0.73,0.24,0.517,0.005,19.653,0.12175451692566275,0.12912472651526333
8,8,0.85,0.5,0.64,0.27,0.513,0.003,19.494,0.13229067238420247,0.14242303592711686
9,9,0.81,0.5,0.72,0.25,0.5,0.001,19.217,0.1304974710047245,0.13565213748812674
10,10,0.81,0.5,0.7,0.24,0.513,0.003,19.423,0.13324068078398704,0.13945682434737686
11,11,0.75,0.5,0.6,0.13,0.516,0.001,19.575,0.1335276957899332,0.15205262359976768
12,12,0.72,0.5,0.63,0.23,0.48700000000000004,0.003,19.037,0.1341548574641347,0.14765516421943906
13,13,0.79,0.5,0.58,0.28,0.504,0.001,19.569000000000003,0.14497682110965252,0.1380347749441862
14,14,0.74,0.5,0.55,0.09,0.521,0.0,19.095,0.1404514471963048,0.15470835307240485
15,15,0.71,0.0,0.69,0.16,0.518,0.002,19.192,0.1402107722312212,0.14509437967836858
16,16,0.83,1.0,0.61,0.14,0.45899999999999996,0.003,19.718,0.14164121360331774,0.1549470085054636
17,17,0.76,0.0,0.63,0.18,0.5059999999999999,0.003,19.437,0.13522711566090584,0.15144126377999784
18,18,0.83,0.5,0.72,0.24,0.488,0.0,19.355999999999998,0.1431876098588109,0.14457518440485
19,19,0.71,0.5,0.63,0.17,0.491,0.0,19.655,0.15219951433688406,0.15307092770934105
20,20,0.69,0.5,0.43,0.19,0.48300000000000004,0.001,19.109,0.1537483831644058,0.15344438510388134
21,21,0.72,0.5,0.62,0.12,0.505,0.006,19.535999999999998,0.15366413356363773,0.1466585463359952
22,22,0.69,0.0,0.42,0.09,0.49800000000000005,0.003,19.528,0.1502872388958931,0.14705894793570046
23,23,0.79,0.5,0.7,0.2,0.5139999999999999,0.001,19.855999999999998,0.15250073401629924,0.14773164772987366
24,24,0.88,0.5,0.68,0.32,0.509,0.002,19.327,0.15336547458916902,0.14774427369236945
25,25,0.82,0.0,0.72,0.13,0.5099999999999999,0.002,19.427,0.15893329618126156,0.14916079153865575
26,26,0.79,0.0,0.47,0.1,0.512,0.002,19.218,0.15329138369858264,0.15607706756144762
27,27,0.71,0.0,0.61,0.21,0.48500000000000004,0.0,19.063,0.1612618752196431,0.1518055966719985
28,28,0.76,0.5,0.55,0.16,0.499,0.0,19.195,0.1630021123960614,0.148674650169909
29,29,0.72,0.0,0.55,0.17,0.495,0.002,19.070999999999998,0.15964694414287806,0.1573135269060731
30,30,0.82,0.5,0.64,0.2,0.502,0.0,18.945999999999998,0.15550513738393784,0.15448168977349994
31,31,0.74,0.5,0.71,0.34,0.488,0.003,19.456,0.16073408642411233,0.15717839735746386
32,32,0.73,0.5,0.51,0.2,0.538,0.001,19.415,0.1607607491016388,0.1580991478562355
33,33,0.8,0.5,0.61,0.19,0.499,0.004,19.264,0.16235968028008935,0.1638340222761035
34,34,0.82,0.0,0.66,0.3,0.518,0.002,19.496,0.16929096991568804,0.1601962806582451
35,35,0.81,0.0,0.62,0.25,0.519,0.003,19.374000000000002,0.16808893760293722,0.1597650674432516
36,36,0.66,0.5,0.61,0.17,0.508,0.002,19.455,0.16461187858879567,0.15986215404421092
37,37,0.76,0.5,0.44,0.22,0.503,0.001,19.329,0.16944894890487194,0.1601975461766124
38,38,0.85,0.0,0.63,0.24,0.481,0.002,19.051,0.17137734349817038,0.15902462165802714
39,39,0.84,0.0,0.7,0.26,0.4769999999999999,0.002,19.235,0.17535530247539285,0.16159924253821373
40,40,0.91,0.0,0.77,0.36,0.505,0.001,19.264,0.17292010608315467,0.16021135974675416
41,41,0.77,0.0,0.54,0.2,0.4940000000000001,0.001,19.243,0.17567721409350634,0.1717906041368842
42,42,0.78,0.0,0.71,0.17,0.481,0.003,19.093,0.1809914991259575,0.1680846040919423
43,43,0.81,0.5,0.59,0.31,0.509,0.0,19.265,0.1760505091920495,0.1663706536963582
44,44,0.82,0.5,0.63,0.28,0.503,0.001,19.135,0.17561078068614006,0.17204105739295486
45,45,0.73,0.5,0.59,0.16,0.5070000000000001,0.004,19.185,0.17329072811454535,0.16605086473375558
46,46,0.76,0.5,0.76,0.4,0.491,0.001,19.387,0.17482959473878146,0.17226272304356102
47,47,0.71,0.0,0.52,0.07,0.513,0.002,19.024,0.1768290665820241,0.17225180568546056
48,48,0.84,0.0,0.68,0.19,0.505,0.004,18.897000000000002,0.17773246736079454,0.17258368498831989
49,49,0.76,0.5,0.61,0.05,0.472,0.004,19.274,0.18383337550610304,0.17953234515339134
50,50,0.78,0.5,0.76,0.21,0.513,0.002,19.576,0.1847449103817344,0.1754680129662156
51,51,0.79,0.0,0.51,0.15,0.503,0.005,19.402,0.1845722177252173,0.16526126173883676
52,52,0.89,0.5,0.59,0.22,0.52,0.002,19.072,0.18345604685693975,0.16709677933901548
53,53,0.7,0.5,0.58,0.14,0.499,0.002,19.336,0.1878243893161416,0.16922196974605322
54,54,0.76,1.0,0.75,0.28,0.5070000000000001,0.0,19.219,0.18474514266103506,0.17595965380966666
55,55,0.82,0.0,0.66,0.2,0.5099999999999999,0.001,19.492,0.1802474826350808,0.17904355891793966
56,56,0.84,0.0,0.76,0.16,0.48700000000000004,0.001,19.023,0.18131499137729407,0.17812688977271318
57,57,0.82,0.0,0.57,0.19,0.503,0.004,19.21,0.1807199888974428,0.17829322548955678
58,58,0.85,0.5,0.69,0.07,0.503,0.0,19.419,0.19291358200460676,0.17748579779267312
59,59,0.78,1.0,0.61,0.19,0.48700000000000004,0.002,19.189,0.18552884474396705,0.181348003603518
60,60,0.82,0.5,0.73,0.24,0.5059999999999999,0.002,18.944000000000003,0.1832977457270026,0.17365172430872916
61,61,0.82,0.5,0.56,0.15,0.531,0.003,19.241,0.183907041952014,0.1762583080008626
62,62,0.8,0.0,0.71,0.19,0.495,0.0,19.543,0.18772338107973335,0.17611309058964253
63,63,0.85,0.0,0.63,0.21,0.49,0.003,19.43,0.1859677466228604,0.16987844332307578
64,64,0.81,0.5,0.75,0.23,0.519,0.001,19.359,0.1964245577007532,0.1878073768541217
65,65,0.92,0.5,0.84,0.25,0.534,0.002,19.187,0.19715632531791927,0.1835622654184699
66,66,0.69,1.0,0.5,0.07,0.49200000000000005,0.002,19.559,0.19234472424536944,0.18254482229053973
67,67,0.88,0.0,0.69,0.26,0.509,0.004,19.615,0.19665033646672966,0.18839095685631035
68,68,0.78,0.5,0.59,0.3,0.503,0.002,19.2,0.20427406580001115,0.18846512194722886
69,69,0.68,0.0,0.56,0.23,0.503,0.001,19.121,0.19702400621026755,0.18194774390012025
70,70,0.71,0.0,0.46,0.11,0.482,0.002,19.132,0.19486187362670895,0.17466327784210445
71,71,0.89,0.5,0.88,0.31,0.495,0.003,18.887999999999998,0.1961498034596443,0.18174227982014415
72,72,0.92,0.0,0.84,0.31,0.49299999999999994,0.002,18.910999999999998,0.1897486144527793,0.1833767344728112
73,73,0.76,0.5,0.53,0.16,0.516,0.001,18.956,0.1942193234860897,0.1935602757111192
74,74,0.86,0.0,0.7,0.19,0.46699999999999997,0.004,19.087,0.20781058021634816,0.18586447178572416
75,75,0.83,0.5,0.77,0.3,0.5139999999999999,0.002,18.849,0.203165459766984,0.1967743430286646
76,76,0.79,0.0,0.52,0.23,0.509,0.002,19.308,0.20016461664438248,0.19412988510727885
77,77,0.89,0.5,0.57,0.23,0.491,0.002,18.967,0.19548248966038226,0.1872148414105177
78,78,0.71,0.5,0.59,0.17,0.5,0.003,19.097,0.20274245012551545,0.19523620994389054
79,79,0.88,0.5,0.64,0.13,0.48700000000000004,0.001,19.019000000000002,0.19528924135863784,0.19039031434059145
80,80,0.82,0.5,0.61,0.28,0.503,0.003,19.296,0.21118286506086587,0.1855141592025757
81,81,0.79,0.5,0.73,0.27,0.53,0.002,19.276,0.20768063889443875,0.1859100022017956
82,82,0.81,0.5,0.58,0.17,0.5009999999999999,0.0,18.787,0.19403693134337666,0.19898051831126207
83,83,0.85,0.0,0.59,0.16,0.517,0.003,18.996,0.20058909855037926,0.19547746060788632
84,84,0.83,0.0,0.54,0.24,0.504,0.002,19.268,0.20689096257835626,0.2064817195534706
85,85,0.88,0.5,0.73,0.34,0.5059999999999999,0.001,19.387,0.19378795908391475,0.19565961569547646
86,86,0.72,0.5,0.53,0.16,0.52,0.001,19.067999999999998,0.2143153041154146,0.1942290530130267
87,87,0.78,0.5,0.68,0.39,0.509,0.004,19.505,0.20439248384535316,0.18618906998634335
88,88,0.87,1.0,0.7,0.25,0.47000000000000003,0.003,19.1,0.20360624895989896,0.19367685279995206
89,89,0.73,0.0,0.6,0.07,0.491,0.003,19.317999999999998,0.21165170676261186,0.2035434180870652
90,90,0.8,0.0,0.66,0.22,0.531,0.001,19.317,0.2133705297484994,0.20505624593794347
91,91,0.76,0.0,0.58,0.31,0.517,0.003,18.907,0.2035539030060172,0.20160788645595312
92,92,0.89,0.0,0.74,0.1,0.517,0.002,19.157,0.1947598083987832,0.1966375685557723
93,93,0.85,0.5,0.69,0.26,0.509,0.002,18.949,0.20708744587004185,0.20832757615298034
94,94,0.82,0.5,0.62,0.2,0.496,0.004,19.021,0.21823429740965367,0.20435721649229527
95,95,0.85,0.5,0.75,0.34,0.46900000000000003,0.001,19.052,0.2008913591131568,0.2074818467348814
96,96,0.84,0.5,0.6,0.17,0.5269999999999999,0.002,18.424,0.2118099168539047,0.2147516280785203
97,97,0.89,0.5,0.72,0.23,0.519,0.0,18.993,0.20506253142654896,0.20243121330440045
98,98,0.84,0.5,0.68,0.31,0.49,0.001,19.218,0.2171038860678673,0.2022640000358224
99,99,0.82,0.5,0.55,0.36,0.513,0.001,19.276,0.21358017209172248,0.2035961246266961
100,100,0.81,0.0,0.54,0.21,0.512,0.004,19.424,0.20857652108371255,0.1948129168152809
