,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.62,1.0,0.27,0.1,,,,,
1,1,0.61,0.0,0.38,0.08,0.4940000000000001,0.002,19.867,0.13340758387183566,0.14195113911036886
2,2,0.73,0.5,0.52,0.14,0.48500000000000004,0.002,19.34,0.1340552397891879,0.13699685492366553
3,3,0.84,0.5,0.65,0.25,0.48500000000000004,0.002,19.426,0.13575183747708794,0.13440768325701355
4,4,0.83,0.0,0.7,0.15,0.49,0.0,19.494,0.12503967236727476,0.13192583747953174
5,5,0.78,0.0,0.58,0.25,0.475,0.002,19.242,0.12927869797497987,0.13347342774271964
6,6,0.79,0.5,0.65,0.29,0.465,0.003,19.423,0.1263679059036076,0.129829461671412
7,7,0.81,0.5,0.77,0.22,0.512,0.002,19.213,0.1234736239053309,0.12272398126870394
8,8,0.84,0.5,0.64,0.25,0.499,0.002,19.739,0.12569770407304168,0.1259430011920631
9,9,0.9,0.5,0.67,0.25,0.4940000000000001,0.005,19.111,0.12993362333253025,0.1285382818058133
10,10,0.9,0.5,0.74,0.18,0.502,0.002,19.297,0.1290949201360345,0.13109887036308646
11,11,0.81,0.0,0.65,0.2,0.504,0.0,19.038,0.12512413907051087,0.12726719972491266
12,12,0.88,0.5,0.74,0.22,0.47300000000000003,0.003,19.027,0.1262265295535326,0.12839713894575835
13,13,0.76,0.5,0.61,0.21,0.524,0.0,18.986,0.12864356269314886,0.13663094214349986
14,14,0.78,0.5,0.75,0.14,0.475,0.002,19.175,0.13062503411993384,0.13146290084719658
15,15,0.8,0.5,0.65,0.19,0.484,0.002,19.41,0.13272778102383018,0.13194473330676554
16,16,0.89,0.5,0.64,0.3,0.46399999999999997,0.004,19.017,0.1354090894535184,0.13771673981845378
17,17,0.75,0.0,0.53,0.08,0.509,0.001,19.151,0.13254600018262866,0.13446797458082438
18,18,0.77,0.0,0.6,0.17,0.491,0.003,18.840999999999998,0.1417422398030758,0.13991330136358734
19,19,0.81,0.5,0.67,0.24,0.495,0.004,19.245,0.13766755808144807,0.1464266114681959
20,20,0.73,0.0,0.64,0.1,0.482,0.004,19.23,0.14015292482078076,0.14377816117554906
21,21,0.93,0.5,0.78,0.22,0.488,0.005,19.059,0.13950783948600293,0.1360354646295309
22,22,0.84,0.5,0.62,0.17,0.479,0.001,18.6,0.1447981661260128,0.13871141988039018
23,23,0.73,0.0,0.69,0.15,0.4940000000000001,0.001,19.256,0.13757087595015766,0.1407972677797079
24,24,0.77,0.0,0.61,0.15,0.47100000000000003,0.002,18.977999999999998,0.13378882513940335,0.14320840037614108
25,25,0.83,0.5,0.73,0.15,0.48500000000000004,0.003,18.434,0.13995024770498274,0.15265359825640915
26,26,0.93,1.0,0.81,0.34,0.48899999999999993,0.003,18.599,0.13409087108820678,0.1419133659377694
27,27,0.92,0.0,0.77,0.39,0.499,0.003,18.788,0.14022183142974973,0.14990557122975587
28,28,0.88,0.0,0.72,0.14,0.479,0.002,18.86,0.1425259717553854,0.15013188390433788
29,29,0.79,0.0,0.67,0.1,0.47800000000000004,0.002,18.927,0.14785353970527648,0.14684185926616192
30,30,0.75,0.5,0.62,0.19,0.5,0.005,18.762,0.14626761159300805,0.15190022213757035
31,31,0.88,0.5,0.77,0.2,0.47000000000000003,0.001,18.66,0.1441847990527749,0.1526999301686883
32,32,0.92,0.5,0.86,0.18,0.479,0.002,18.917,0.14532679257541894,0.15057595240324734
33,33,0.86,0.5,0.74,0.29,0.488,0.002,19.066,0.14708977816998958,0.15165234761685134
34,34,0.91,1.0,0.68,0.16,0.481,0.002,18.645,0.14976929002255202,0.15604306200146675
35,35,0.87,1.0,0.64,0.19,0.48700000000000004,0.001,19.006,0.14656449807062746,0.15811994211375713
36,36,0.84,0.5,0.83,0.3,0.5,0.002,19.336,0.14643374795466665,0.1581774315685034
37,37,0.84,0.0,0.59,0.21,0.48899999999999993,0.003,19.149,0.15079169727116826,0.15633957778662444
38,38,0.88,0.5,0.78,0.29,0.521,0.003,19.230999999999998,0.1470126737654209,0.15278081011027098
39,39,0.82,0.0,0.77,0.3,0.49200000000000005,0.003,18.723,0.15349411079287528,0.16155396253615614
40,40,0.84,1.0,0.74,0.23,0.513,0.004,19.113,0.15471256048977375,0.1645980032980442
41,41,0.85,0.5,0.74,0.31,0.481,0.004,19.295,0.14654695750772953,0.15832777321338656
42,42,0.86,0.0,0.74,0.29,0.48899999999999993,0.001,18.715,0.15427120612561704,0.15835887864977122
43,43,0.92,0.5,0.83,0.34,0.47400000000000003,0.001,19.285999999999998,0.14936182489991187,0.15882421824336052
44,44,0.87,0.5,0.63,0.25,0.4680000000000001,0.002,18.858,0.15006696078926324,0.1640070790052414
45,45,0.88,1.0,0.72,0.31,0.49299999999999994,0.002,18.843,0.16084576416015625,0.16834886702150104
46,46,0.93,0.5,0.77,0.35,0.528,0.001,18.19,0.1582249277383089,0.16781720329076052
47,47,0.76,0.5,0.64,0.23,0.45,0.004,19.072,0.15745919804275035,0.17192791467159987
48,48,0.78,1.0,0.53,0.19,0.465,0.0,18.201,0.15353043760359286,0.1666507713198662
49,49,0.88,1.0,0.66,0.19,0.45099999999999996,0.002,18.41,0.15249605969339608,0.16439449242502452
50,50,0.87,0.5,0.75,0.29,0.45599999999999996,0.0,18.324,0.15047784984856846,0.16215499675273895
51,51,0.87,0.5,0.74,0.31,0.482,0.002,18.859,0.1556284870430827,0.16843007294088602
52,52,0.71,0.5,0.66,0.08,0.48700000000000004,0.0,18.475,0.16012613718956709,0.171877218849957
53,53,0.92,0.5,0.78,0.32,0.515,0.001,18.227,0.1589789074063301,0.17289064960181713
54,54,0.9,0.5,0.81,0.36,0.46299999999999997,0.002,18.43,0.16315678077191115,0.17620384567975994
55,55,0.89,0.5,0.66,0.25,0.48899999999999993,0.002,18.472,0.16171981758624315,0.17860054123401642
56,56,0.79,0.5,0.77,0.28,0.475,0.003,18.271,0.16607976680248976,0.17722510646283626
57,57,0.87,0.5,0.75,0.36,0.439,0.001,18.495,0.16348620765656233,0.17546549952030185
58,58,0.84,0.5,0.65,0.26,0.47600000000000003,0.005,18.248,0.1711931188777089,0.1727435649111867
59,59,0.97,0.5,0.9,0.46,0.4660000000000001,0.001,18.213,0.16654299965500832,0.1788444663658738
60,60,0.87,0.5,0.75,0.23,0.48300000000000004,0.002,18.014,0.17049837198853493,0.17678867233544587
61,61,0.95,0.5,0.83,0.24,0.48500000000000004,0.0,18.561,0.17144974835962054,0.1822457440122962
62,62,0.88,0.5,0.75,0.2,0.45399999999999996,0.003,18.480999999999998,0.16415375009924174,0.17338841179013256
63,63,0.8,0.5,0.71,0.23,0.47000000000000003,0.003,18.709,0.16906043388694525,0.17571944560855626
64,64,0.77,0.5,0.5,0.08,0.47800000000000004,0.002,18.61,0.17172628505527973,0.18737369892001152
65,65,0.9,0.5,0.79,0.27,0.46699999999999997,0.002,18.296,0.1778917463719845,0.1866857735812664
66,66,0.95,0.5,0.91,0.36,0.46099999999999997,0.003,18.409000000000002,0.1761323792785406,0.18382507080584765
67,67,0.98,0.5,0.85,0.43,0.4680000000000001,0.002,18.097,0.16548865842819213,0.1824386850297451
68,68,0.97,0.5,0.87,0.39,0.491,0.001,18.288,0.1739915409386158,0.18168073040992025
69,69,0.93,0.5,0.77,0.25,0.48000000000000004,0.0,18.234,0.17903769347816706,0.1865154571384192
70,70,0.96,0.5,0.88,0.46,0.48300000000000004,0.002,18.579,0.1808129847049713,0.1880050772279501
71,71,0.92,1.0,0.81,0.32,0.5009999999999999,0.001,18.6,0.1819457133188844,0.185069584146142
72,72,0.94,0.5,0.88,0.4,0.47800000000000004,0.002,18.358,0.1768317229002714,0.1820242345035076
73,73,0.9,0.0,0.78,0.28,0.499,0.003,18.316,0.18202609542757275,0.18546757066249847
74,74,0.94,1.0,0.85,0.42,0.4769999999999999,0.0,18.559,0.1881395851001144,0.19644634061306715
75,75,0.94,0.5,0.87,0.26,0.49699999999999994,0.004,18.618,0.18132588033378125,0.1882262991219759
76,76,0.97,0.0,0.82,0.32,0.46299999999999997,0.003,18.919,0.17256334736198187,0.1763709978759289
77,77,0.97,1.0,0.91,0.37,0.47300000000000003,0.001,18.381,0.18007122661918398,0.18242333213239909
78,78,0.92,1.0,0.83,0.28,0.47000000000000003,0.001,18.988,0.1741266459301114,0.19081948349624872
79,79,0.95,0.0,0.76,0.35,0.479,0.003,18.748,0.1938077550008893,0.1986003994345665
80,80,0.94,0.5,0.86,0.28,0.47800000000000004,0.005,18.432000000000002,0.1769297471344471,0.18098290836066008
81,81,0.96,0.5,0.8,0.39,0.481,0.002,18.427,0.18346184832602735,0.1875329255089164
82,82,0.98,1.0,0.91,0.5,0.504,0.001,18.423,0.1839490220695734,0.18380041617155074
83,83,0.94,0.5,0.85,0.37,0.47600000000000003,0.003,18.18,0.18520659632980824,0.18787182803452016
84,84,0.97,0.5,0.96,0.43,0.46099999999999997,0.001,18.689,0.18471706693619488,0.1911077881231904
85,85,0.95,1.0,0.8,0.32,0.499,0.004,18.686,0.18003942652791738,0.17936390878260136
86,86,0.97,1.0,0.9,0.3,0.49,0.002,18.477,0.1776791337132454,0.18742015621066094
87,87,0.89,1.0,0.81,0.23,0.49200000000000005,0.004,18.364,0.1881689521446824,0.19335089380294085
88,88,0.93,1.0,0.79,0.29,0.45399999999999996,0.003,18.737000000000002,0.18597690581530327,0.1882084064334631
89,89,0.96,1.0,0.85,0.39,0.482,0.005,18.765,0.18720303002744912,0.1981368134096265
90,90,0.96,0.5,0.94,0.49,0.503,0.001,18.412,0.18559295988082888,0.18876493959128854
91,91,0.94,0.5,0.82,0.39,0.472,0.001,18.229,0.19242458875477314,0.1960607089623809
92,92,0.97,1.0,0.8,0.29,0.49699999999999994,0.003,19.163,0.1893491754308343,0.19404449442774055
