,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.65,1.0,0.58,0.11,,,,,
1,1,0.66,0.0,0.37,0.09,0.348,0.022,22.921999999999997,0.16702574351330196,0.1564039181785535
2,2,0.72,0.5,0.52,0.15,0.4940000000000001,0.007000000000000001,20.115,0.15425131767988204,0.14753004981949924
3,3,0.9,0.5,0.72,0.21,0.389,0.002,14.409,0.10316387137304993,0.09894762950576842
4,4,0.86,0.5,0.61,0.26,0.47600000000000003,0.009,18.597,0.15041821721196175,0.14765676091611385
5,5,0.74,0.5,0.48,0.17,0.41300000000000003,0.013000000000000001,20.266,0.1345166054368019,0.12914526383578778
6,6,0.61,0.5,0.36,0.11,0.414,0.005,18.066,0.1509200831800699,0.14147118737176062
7,7,0.73,0.5,0.58,0.24,0.458,0.005,19.236,0.17397050918638707,0.1674955205656588
8,8,0.84,0.5,0.59,0.13,0.603,0.003,21.933000000000003,0.15655867912992835,0.15954163222759962
9,9,0.8,0.0,0.66,0.25,0.517,0.007000000000000001,22.221999999999998,0.14000203040614725,0.13924973503500224
10,10,0.79,0.5,0.71,0.21,0.48500000000000004,0.002,22.576,0.1514415905959904,0.14691762419417498
11,11,0.77,1.0,0.62,0.14,0.45399999999999996,0.003,21.092,0.1659330219477415,0.16616027738153935
12,12,0.92,1.0,0.78,0.33,0.571,0.013000000000000001,21.337,0.15217962605506186,0.15831778349727393
13,13,0.76,1.0,0.55,0.13,0.554,0.0,19.712,0.16300616155192255,0.1703885552883148
14,14,0.84,1.0,0.71,0.28,0.534,0.004,20.491,0.14298349995166065,0.1486669863462448
15,15,0.9,1.0,0.79,0.34,0.63,0.011,22.467,0.1464569380953908,0.15429542008042335
16,16,0.81,1.0,0.48,0.25,0.606,0.003,21.019000000000002,0.16065822345763445,0.1636483863927424
17,17,0.83,0.0,0.74,0.23,0.665,0.007000000000000001,19.843,0.15616051237285136,0.16745512238144875
18,18,0.57,0.5,0.43,0.15,0.542,0.026000000000000002,23.022,0.16274653738364578,0.16861655235290526
19,19,0.96,0.5,0.74,0.32,0.61,0.022,23.521,0.1455713195130229,0.15489796600490807
20,20,0.85,0.5,0.73,0.38,0.523,0.01,21.028000000000002,0.14418278403952714,0.15123782632127405
21,21,0.75,1.0,0.48,0.16,0.513,0.013000000000000001,22.715,0.1691138645336032,0.1740664054378867
22,22,0.89,0.5,0.75,0.27,0.533,0.017,20.923000000000002,0.15803205329179765,0.17042804416269064
23,23,0.96,0.5,0.74,0.43,0.5740000000000001,0.008,20.391,0.14347130111977455,0.1550189864486456
24,24,0.8,0.0,0.63,0.27,0.544,0.008,20.047,0.16243191281706096,0.1688621088564396
25,25,0.68,1.0,0.5,0.22,0.561,0.013000000000000001,22.505,0.15819931464642287,0.1737576221898198
26,26,0.77,0.0,0.55,0.23,0.48600000000000004,0.022,23.533,0.1568346148878336,0.16405009070783855
27,27,0.66,0.5,0.42,0.3,0.4769999999999999,0.013000000000000001,21.206999999999997,0.16741228634864092,0.17451629319787024
28,28,0.62,0.5,0.4,0.16,0.524,0.008,19.892,0.16190119941532613,0.16452604949474334
29,29,0.84,0.5,0.8,0.26,0.536,0.004,20.588,0.16423752404749392,0.17058919805288314
30,30,0.62,0.5,0.49,0.17,0.363,0.011,22.491,0.15707658567652105,0.14905350564420222
31,31,0.78,0.5,0.51,0.25,0.424,0.006,21.093000000000004,0.1613374867886305,0.15966662031039594
32,32,0.79,0.5,0.6,0.3,0.41100000000000003,0.017,21.308000000000003,0.16928622302785515,0.17042033926397562
33,33,0.77,0.0,0.54,0.28,0.47400000000000003,0.009,20.535,0.16923900191485886,0.16697579956054687
34,34,0.85,0.5,0.69,0.31,0.479,0.005,21.590999999999998,0.17192519199848175,0.17268750616908074
35,35,0.84,0.5,0.66,0.28,0.462,0.019,23.526,0.14659642163664102,0.148656438998878
36,36,0.84,0.5,0.61,0.29,0.561,0.005,22.873,0.1830528458431363,0.18351372699439525
37,37,0.81,0.0,0.58,0.21,0.526,0.003,20.406,0.1805864367634058,0.17695752003788948
38,38,0.8,0.0,0.6,0.23,0.6519999999999999,0.007000000000000001,20.936999999999998,0.15354847966879606,0.16187134240567685
39,39,0.86,0.5,0.6,0.35,0.528,0.008,22.723000000000003,0.1491752180121839,0.1513566899858415
40,40,0.86,0.0,0.73,0.27,0.603,0.006,21.561,0.17188833072036505,0.17136312966048714
41,41,0.7,0.0,0.56,0.22,0.517,0.015000000000000001,21.629,0.169464131064713,0.1733798249065876
42,42,0.91,0.5,0.68,0.2,0.544,0.011,21.928,0.18053381080180408,0.17304995459318162
43,43,0.9,0.5,0.81,0.33,0.628,0.013000000000000001,22.084,0.16155058202892542,0.16210540717840194
44,44,0.89,0.5,0.84,0.36,0.599,0.009,21.974,0.17455905724316834,0.1752255758345127
45,45,0.92,0.5,0.8,0.38,0.571,0.008,22.609,0.18000249928981066,0.16719104366004467
46,46,0.89,0.5,0.83,0.36,0.59,0.013000000000000001,21.517,0.16975464671105148,0.1660020449310541
47,47,0.9,0.5,0.72,0.37,0.636,0.012,22.538,0.14643487722054124,0.1528524271324277
48,48,0.86,1.0,0.73,0.38,0.534,0.005,22.243000000000002,0.1564286465495825,0.15994252426549793
49,49,0.83,0.0,0.66,0.21,0.5740000000000001,0.01,22.180999999999997,0.16842872137576342,0.1677010172754526
50,50,0.93,0.5,0.78,0.38,0.583,0.015000000000000001,24.05,0.15348757388815285,0.153592046584934
