,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.43,0.5,0.13,0.02,,,,,
1,1,0.85,0.5,0.8,0.23,0.43499999999999994,0.022,21.898000000000003,0.1562731879134592,0.14972073107386452
2,2,0.78,1.0,0.54,0.24,0.5059999999999999,0.017999999999999995,22.228,0.13008185966685415,0.12431403957307338
3,3,0.74,0.5,0.58,0.32,0.361,0.025,23.581999999999997,0.14363767916336656,0.13519366807490588
4,4,0.89,0.5,0.7,0.3,0.47400000000000003,0.017999999999999995,21.851999999999997,0.13931638592854145,0.13483660008758305
5,5,0.82,1.0,0.66,0.29,0.449,0.012,22.816,0.1379529681801796,0.13854437406733633
6,6,0.9,0.0,0.64,0.18,0.44100000000000006,0.009,23.006999999999998,0.15069669560343027,0.1458609786853194
7,7,0.92,1.0,0.7,0.32,0.48000000000000004,0.017999999999999995,22.031999999999996,0.14573991613835094,0.14491581727564334
8,8,0.88,0.5,0.81,0.39,0.495,0.017,21.426,0.13684207351505756,0.1394868983104825
9,9,0.84,0.0,0.65,0.32,0.482,0.015000000000000001,23.178,0.14618233593553304,0.15051088128983975
10,10,0.85,1.0,0.67,0.31,0.4940000000000001,0.016,22.575,0.14301237776875494,0.14809178970754147
11,11,0.8,1.0,0.65,0.28,0.462,0.013000000000000001,21.993000000000002,0.14211719892919064,0.1392285648100078
12,12,0.79,1.0,0.75,0.4,0.547,0.015000000000000001,22.366,0.1450352376848459,0.13954643535986544
13,13,0.94,0.5,0.85,0.41,0.625,0.009,21.840999999999998,0.14331998824328185,0.14137581434100865
14,14,0.88,0.5,0.72,0.42,0.49699999999999994,0.002,23.177,0.1518274052068591,0.14263728120177985
15,15,0.89,1.0,0.69,0.41,0.47600000000000003,0.006,21.76,0.15234808907657862,0.15346400402113794
16,16,0.92,1.0,0.76,0.41,0.6519999999999999,0.012,22.006999999999998,0.14684938151016833,0.15126041727885606
17,17,0.87,0.5,0.7,0.44,0.6259999999999999,0.015000000000000001,23.243000000000002,0.14179778047651054,0.1423208401054144
