,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.39,1.0,0.13,0.01,,,,,
1,1,0.73,0.5,0.57,0.15,0.495,0.003,20.425,0.12799839727731066,0.12289119279294305
2,2,0.72,1.0,0.43,0.17,0.508,0.005,19.847,0.12269937973842025,0.12437466014921665
3,3,0.7,0.0,0.49,0.15,0.482,0.003,19.302,0.12513992408663036,0.13033084528148176
4,4,0.83,0.5,0.66,0.25,0.499,0.004,19.562,0.13006855404749512,0.12455899204313756
5,5,0.7,0.0,0.58,0.15,0.509,0.001,19.235,0.1268545088917017,0.12022177273780107
6,6,0.78,0.5,0.7,0.1,0.49800000000000005,0.005,19.313,0.12709923900291326,0.12937478547543288
7,7,0.75,0.5,0.62,0.24,0.49699999999999994,0.0,19.721,0.1296489372998476,0.1260891307219863
8,8,0.86,0.5,0.62,0.13,0.52,0.002,19.746,0.1290923721715808,0.1251064044497907
9,9,0.8,0.5,0.61,0.16,0.502,0.002,19.575,0.12441571331769227,0.12916010229662062
10,10,0.89,0.5,0.7,0.25,0.48600000000000004,0.003,19.267,0.1273233935534954,0.13656032168120147
11,11,0.81,0.0,0.66,0.06,0.519,0.001,19.002,0.1245561341494322,0.13076421798020602
12,12,0.86,0.5,0.59,0.27,0.495,0.003,19.805,0.12746582109108567,0.13318089293316007
13,13,0.92,0.0,0.75,0.34,0.49299999999999994,0.0,19.410999999999998,0.1303118918277323,0.13368063104897734
14,14,0.77,1.0,0.54,0.17,0.5,0.001,19.389,0.12720125018805264,0.13728848160803314
15,15,0.86,0.5,0.78,0.2,0.48000000000000004,0.0,19.046,0.1312681176364422,0.14597683165594935
16,16,0.82,0.5,0.69,0.28,0.502,0.001,19.195,0.1285373408831656,0.13674863078445196
17,17,0.83,0.5,0.68,0.23,0.513,0.004,19.605999999999998,0.13217541325837373,0.1487327198907733
18,18,0.78,0.0,0.56,0.14,0.495,0.0,18.773,0.13827523397654296,0.14161375385522842
19,19,0.83,0.5,0.67,0.31,0.4940000000000001,0.005,19.648,0.1328820740133524,0.1405348454080522
20,20,0.87,0.5,0.69,0.3,0.513,0.002,19.052,0.13799976249039173,0.13606005259603265
21,21,0.81,0.5,0.64,0.17,0.512,0.003,19.185,0.14428615166246891,0.14198974967747927
22,22,0.83,0.0,0.62,0.1,0.511,0.004,19.398,0.14181247755140067,0.13884015759080648
23,23,0.79,0.5,0.74,0.22,0.484,0.002,18.76,0.1421044369786978,0.14709394526481628
24,24,0.89,0.0,0.56,0.25,0.519,0.003,19.063,0.14236650314927102,0.14315474849194287
25,25,0.75,0.5,0.65,0.13,0.512,0.0,19.236,0.1432619180455804,0.14818549592792987
26,26,0.91,0.5,0.76,0.26,0.48700000000000004,0.001,18.621,0.14244903464615344,0.14502423252910376
27,27,0.85,0.5,0.72,0.18,0.495,0.001,18.98,0.14596408254653215,0.15106506979465484
28,28,0.73,0.5,0.5,0.17,0.472,0.003,19.473,0.14049068918824195,0.148259802442044
29,29,0.83,0.0,0.69,0.09,0.49200000000000005,0.002,18.962,0.14344970091804862,0.14570710295811296
30,30,0.86,1.0,0.77,0.33,0.495,0.003,19.395,0.14687162198126316,0.15026086822897194
31,31,0.71,0.5,0.55,0.19,0.511,0.0,18.967,0.14470170272886754,0.15363511695712806
32,32,0.91,0.5,0.82,0.25,0.49200000000000005,0.002,18.859,0.13621212550997733,0.1489630798995495
33,33,0.84,0.5,0.65,0.15,0.491,0.0,19.067,0.14841929170489312,0.15344156086444855
34,34,0.87,0.5,0.75,0.23,0.4940000000000001,0.0,19.07,0.14536668857932092,0.14468487539887429
35,35,0.87,1.0,0.73,0.39,0.502,0.001,19.195999999999998,0.14748879745602608,0.1498264796435833
36,36,0.87,1.0,0.77,0.25,0.531,0.001,19.669,0.15350960804522035,0.1540933919325471
37,37,0.9,0.0,0.79,0.12,0.5,0.001,18.977999999999998,0.14658443403989074,0.15725492040067912
38,38,0.85,0.5,0.75,0.28,0.46699999999999997,0.002,19.115,0.14312313353270292,0.15052261285483834
39,39,0.87,0.5,0.73,0.15,0.488,0.004,18.857,0.15025888721644878,0.15623131156712772
40,40,0.86,0.5,0.62,0.26,0.504,0.002,18.825,0.14524741449952125,0.15020464634150266
41,41,0.81,0.5,0.64,0.19,0.496,0.003,18.889,0.14766184452176095,0.15425587547570466
42,42,0.9,1.0,0.69,0.33,0.48600000000000004,0.002,18.759,0.15115469002723694,0.15176886995881794
43,43,0.89,0.5,0.78,0.3,0.52,0.001,19.093,0.14285168974846602,0.14635226744413374
44,44,0.93,0.0,0.77,0.29,0.523,0.003,19.317999999999998,0.14263339386880394,0.14908557654172186
45,45,0.88,1.0,0.79,0.25,0.5059999999999999,0.002,19.288,0.14697902615368366,0.1557260136604309
46,46,0.94,0.5,0.84,0.4,0.505,0.003,19.285,0.14323281030356885,0.14685622718185187
47,47,0.85,0.5,0.77,0.46,0.517,0.004,19.088,0.1459151817560196,0.1529388941526413
48,48,0.89,0.5,0.76,0.38,0.48300000000000004,0.003,19.051,0.14582392317056656,0.14808466394990685
49,49,0.91,0.5,0.81,0.32,0.5099999999999999,0.002,18.913,0.1462014897465706,0.15866045951098204
50,50,0.88,0.0,0.66,0.15,0.4769999999999999,0.001,18.896,0.14663372287899254,0.15619676040112973
51,51,0.89,0.0,0.7,0.3,0.491,0.0,18.845,0.15390957488119605,0.1608479055017233
52,52,0.96,0.5,0.87,0.35,0.48700000000000004,0.0,19.160999999999998,0.1596625121086836,0.1620303599089384
53,53,0.92,1.0,0.74,0.2,0.488,0.006,19.009,0.151618146084249,0.15443928180634975
54,54,0.88,0.5,0.7,0.23,0.47800000000000004,0.001,18.546,0.1529643062800169,0.16153829587250948
55,55,0.94,1.0,0.82,0.41,0.496,0.004,18.976,0.1514937241896987,0.15735037821531295
56,56,0.89,1.0,0.89,0.29,0.5059999999999999,0.001,18.791,0.1558172041401267,0.16422137969732284
57,57,0.85,0.5,0.69,0.2,0.49,0.004,18.512999999999998,0.1593183260411024,0.16222666412591935
58,58,0.87,0.5,0.77,0.35,0.46099999999999997,0.002,18.738,0.1548614024668932,0.16725068533420562
59,59,0.87,1.0,0.79,0.24,0.48000000000000004,0.002,18.617,0.1555608485713601,0.16572720592468976
60,60,0.91,1.0,0.73,0.21,0.472,0.004,18.552,0.15968046802282335,0.16502241552621127
61,61,0.94,1.0,0.84,0.23,0.5009999999999999,0.001,18.733,0.1580069516003132,0.1688535084798932
62,62,0.91,0.5,0.61,0.3,0.502,0.002,18.902,0.15178028913587333,0.16818904014676808
63,63,0.87,0.5,0.78,0.31,0.48000000000000004,0.001,18.75,0.1548180648908019,0.16934890742599965
64,64,0.94,0.5,0.73,0.18,0.505,0.0,18.762999999999998,0.15450235968828202,0.17271646156162024
65,65,0.9,0.5,0.81,0.23,0.488,0.002,19.055,0.1581383782401681,0.16412208572030068
66,66,0.95,0.5,0.79,0.16,0.4769999999999999,0.001,18.824,0.163745330914855,0.16604699090123176
67,67,0.94,1.0,0.84,0.3,0.49299999999999994,0.001,18.642,0.16663373455405234,0.17225240752100945
68,68,0.86,1.0,0.82,0.29,0.47400000000000003,0.002,18.523,0.16458401633799075,0.17447744734585285
69,69,0.84,1.0,0.82,0.29,0.488,0.002,18.997,0.17002403762191534,0.17953451554477215
70,70,0.97,0.5,0.9,0.36,0.48700000000000004,0.001,18.759,0.1716470260322094,0.17425217321515082
71,71,0.97,0.5,0.82,0.44,0.512,0.001,18.436,0.1709292634949088,0.1764841972514987
72,72,0.93,0.5,0.79,0.39,0.5009999999999999,0.003,19.075,0.17729894714802505,0.1849009139239788
73,73,0.87,1.0,0.76,0.35,0.49200000000000005,0.003,18.992,0.17141409450024367,0.1784376767426729
74,74,0.93,1.0,0.81,0.37,0.475,0.002,19.077,0.16925938058644532,0.1762611366286874
75,75,0.91,1.0,0.76,0.39,0.48600000000000004,0.001,18.447,0.1690387525036931,0.17216251610964536
76,76,0.96,1.0,0.76,0.26,0.4940000000000001,0.0,19.264,0.1742591898739338,0.18657817318290476
77,77,0.95,0.5,0.82,0.33,0.526,0.0,18.722,0.1704762844890356,0.19305123817920689
78,78,0.92,0.5,0.79,0.45,0.496,0.002,18.977999999999998,0.1806844763085246,0.179645524173975
79,79,0.9,0.5,0.79,0.29,0.49200000000000005,0.0,18.302,0.1744630568474531,0.1825715278536081
80,80,0.95,1.0,0.77,0.35,0.479,0.004,18.94,0.17326909866929055,0.17990114243328573
81,81,0.96,0.5,0.89,0.33,0.48300000000000004,0.003,18.750999999999998,0.17744887521117925,0.18803522868454456
82,82,0.87,0.0,0.76,0.35,0.509,0.001,18.843,0.18515024120360613,0.1878342970982194
83,83,0.98,1.0,0.96,0.42,0.48700000000000004,0.0,18.873,0.1801486814171076,0.1805500531420112
84,84,0.95,1.0,0.76,0.54,0.5009999999999999,0.0,18.149,0.1890312087610364,0.19280547611415386
85,85,0.94,0.5,0.88,0.53,0.49299999999999994,0.004,19.454,0.17725122858583928,0.1859024842828512
86,86,0.95,0.5,0.93,0.41,0.512,0.003,18.879,0.1826147609874606,0.18216377533227204
87,87,0.92,1.0,0.8,0.32,0.505,0.002,18.381,0.18079427920281887,0.1783657992258668
88,88,0.98,1.0,0.93,0.58,0.496,0.001,18.480999999999998,0.18171513126045466,0.18490778896212576
89,89,0.99,1.0,0.96,0.48,0.5009999999999999,0.001,19.018,0.18447489017248156,0.19047177634388207
90,90,0.99,0.5,0.85,0.43,0.462,0.001,18.335,0.19574106860160828,0.19209055006504056
91,91,0.9,0.5,0.77,0.29,0.48899999999999993,0.004,18.407,0.1883746707811952,0.19746102006733415
92,92,0.93,0.5,0.76,0.31,0.5070000000000001,0.002,18.424,0.19014465110003947,0.18281154967844487
93,93,0.96,0.5,0.92,0.47,0.511,0.003,18.68,0.18846444300562146,0.19311164373904466
94,94,0.95,0.5,0.89,0.4,0.533,0.005,18.972,0.1950152330249548,0.19197485207766293
95,95,0.97,1.0,0.84,0.25,0.505,0.002,18.335,0.18827451594173908,0.1983104131668806
96,96,0.94,0.5,0.85,0.46,0.48899999999999993,0.003,18.597,0.18362359485030172,0.1829423386603594
97,97,0.94,1.0,0.87,0.45,0.518,0.002,18.521,0.17564668770879507,0.18351597902178765
98,98,0.92,1.0,0.86,0.43,0.4940000000000001,0.003,18.619,0.19268649793416265,0.20357737872749568
