,training_round,random,left,lvl1,lvl2,wins_p1,ties,game_length,loss_p1,loss_p2
0,0,0.4,0.0,0.15,0.05,,,,,
1,1,0.63,1.0,0.42,0.12,0.5269999999999999,0.006,20.9,0.17147812262343204,0.16614517067944762
2,2,0.74,1.0,0.44,0.26,0.5690000000000001,0.011,21.046999999999997,0.14705408712476492,0.1468550937399268
3,3,0.8,0.0,0.73,0.27,0.571,0.012,21.775,0.14044999251514673,0.1406217980980873
4,4,0.84,0.5,0.67,0.19,0.608,0.01,20.886999999999997,0.12574343519471587,0.12885919996723533
5,5,0.84,0.5,0.5,0.28,0.40700000000000003,0.005,20.573,0.1503076762892306,0.14255295772105456
6,6,0.85,0.5,0.69,0.2,0.5070000000000001,0.002,22.209,0.13487240549735724,0.1381037874817848
7,7,0.9,0.5,0.78,0.27,0.606,0.003,20.953000000000003,0.10727494056057184,0.10823298358544707
8,8,0.63,0.0,0.29,0.16,0.47000000000000003,0.004,23.805999999999997,0.11870813552010805,0.12379347526840866
9,9,0.8,0.0,0.62,0.2,0.5099999999999999,0.002,22.653000000000002,0.1461262851431966,0.15085176943987608
10,10,0.91,0.5,0.74,0.24,0.39399999999999996,0.0,20.741999999999997,0.15378039161860946,0.1545687043890357
11,11,0.77,0.0,0.55,0.21,0.5009999999999999,0.002,20.37,0.14159681770950555,0.1367407378964126
12,12,0.81,0.0,0.65,0.26,0.42300000000000004,0.003,20.137999999999998,0.12111512398719787,0.12028838821873067
13,13,0.85,0.5,0.69,0.21,0.3,0.004,19.908,0.1438003552444279,0.13488794227316975
14,14,0.61,0.5,0.5,0.15,0.48300000000000004,0.01,20.256,0.15564295893535018,0.15512030055746434
15,15,0.79,0.0,0.59,0.07,0.44400000000000006,0.006,19.043,0.15050583593174816,0.14241175228357314
16,16,0.73,0.5,0.55,0.13,0.519,0.005,20.133,0.15767841386049986,0.161731957025826
17,17,0.78,0.5,0.59,0.18,0.529,0.005,21.491,0.1509283278621733,0.15793119052797555
18,18,0.89,0.5,0.76,0.22,0.538,0.0,18.858,0.14945954675227405,0.15246565307304266
19,19,0.83,0.0,0.64,0.3,0.39,0.003,18.325,0.1572928181476891,0.15749990936741232
20,20,0.92,0.5,0.69,0.3,0.42700000000000005,0.0,19.645,0.15675446517765526,0.15655647149682045
21,21,0.8,0.5,0.7,0.29,0.44400000000000006,0.005,19.671,0.15346914129331707,0.15301754298061132
22,22,0.87,0.0,0.86,0.38,0.542,0.004,18.018,0.15421525786072016,0.15614321863651276
23,23,0.83,0.5,0.69,0.21,0.52,0.006,20.351,0.15352649222314355,0.1552505887709558
24,24,0.84,0.5,0.67,0.31,0.567,0.001,20.796,0.1631966672167182,0.16844805801659826
25,25,0.85,0.5,0.7,0.21,0.559,0.002,18.233,0.1686840032339096,0.16597349540889264
26,26,0.84,0.5,0.64,0.19,0.49,0.004,19.458,0.16039780331403014,0.1598584355264902
27,27,0.92,0.5,0.8,0.31,0.47600000000000003,0.006,18.656,0.16227135473489762,0.16776146585866808
28,28,0.88,0.5,0.8,0.25,0.621,0.005,18.429000000000002,0.16509835648164153,0.16473974610865116
29,29,0.77,0.5,0.52,0.15,0.5,0.006,19.963,0.16706236103922129,0.16121819368749854
30,30,0.71,0.5,0.61,0.12,0.46900000000000003,0.006,18.969,0.16976076880842447,0.16302905639261006
31,31,0.71,0.5,0.57,0.11,0.46699999999999997,0.004,20.439,0.1748679103627801,0.17070512141287328
32,32,0.92,0.5,0.7,0.35,0.548,0.008,19.994,0.17052100721001626,0.16890317744761704
33,33,0.68,0.0,0.55,0.09,0.517,0.002,20.419,0.16537838689237833,0.16800611767172813
34,34,0.72,0.5,0.58,0.16,0.532,0.006,19.633,0.16387156308442355,0.17128514625132085
35,35,0.86,0.5,0.72,0.28,0.546,0.006,20.846,0.15967077793926002,0.1626438438370824
36,36,0.79,0.5,0.63,0.28,0.665,0.009,20.317,0.15845433831959962,0.15911847820878028
37,37,0.82,0.5,0.67,0.14,0.624,0.004,19.276,0.15313215127959848,0.15355540303885934
38,38,0.84,0.5,0.77,0.28,0.586,0.005,19.53,0.16713664461672306,0.16996645591408013
39,39,0.7,0.5,0.66,0.22,0.45399999999999996,0.007000000000000001,22.124000000000002,0.16658670821785926,0.16189766513556242
40,40,0.79,0.5,0.56,0.14,0.41800000000000004,0.008,21.366999999999997,0.1651254756525159,0.15797987770289182
41,41,0.81,0.5,0.65,0.11,0.481,0.013000000000000001,22.416999999999998,0.15026552574709054,0.1501480802372098
42,42,0.83,1.0,0.68,0.24,0.593,0.015000000000000001,23.215,0.1472967570461333,0.15115621818602085
43,43,0.88,0.5,0.76,0.18,0.594,0.004,21.118000000000002,0.1576064758300781,0.15354876923933625
44,44,0.72,1.0,0.61,0.14,0.535,0.01,22.662,0.17036250545457005,0.16666199465095996
45,45,0.91,0.5,0.54,0.17,0.46099999999999997,0.003,19.482,0.19047394735366105,0.17918722849339247
46,46,0.75,1.0,0.61,0.17,0.5070000000000001,0.008,22.633000000000003,0.1878776279836893,0.1801001044586301
47,47,0.77,0.0,0.61,0.21,0.4570000000000001,0.001,19.505,0.1772326148748398,0.17124581476300954
48,48,0.83,0.5,0.72,0.19,0.5650000000000001,0.01,20.673000000000002,0.15626904999092225,0.15154986207932233
49,49,0.84,0.5,0.71,0.21,0.49200000000000005,0.004,20.097,0.17236258079856634,0.16596295125037433
50,50,0.76,0.5,0.57,0.23,0.38699999999999996,0.008,19.246,0.17184487162530426,0.16488256014883518
51,51,0.84,1.0,0.73,0.27,0.566,0.004,18.744,0.1710387758538127,0.17183257009834052
52,52,0.88,1.0,0.64,0.23,0.594,0.003,18.629,0.1741320656463504,0.17545685252547266
53,53,0.82,1.0,0.74,0.29,0.49800000000000005,0.002,18.743,0.16315468341112138,0.15814440413936973
